"Zeitstempel","Wie oft benutzt Du elektronische Seekarten?","Wie nutzt Du elektronische Seekarten?","Welche elektronischen Seekarten sind interessant für Dich?","Was findet Ihr gut gelungen an kommerziellen Seekarten?","Was findet Ihr schlecht an kommerziellen Seekarten?","Wie oft aktualisierst Du Seekarten?","Möchtest Du die Seekarte dauerhaft ohne Einschränkungen besitzen und verwenden?","Findet ihr die Lizenzbedingungen für kommerzielle  Seekarte fair?","Findest Du den Preis für kommerzielle Seekarten für Apps angemessen?","Findest Du den Preis für kommerzielle Seekarten für Plotter angemessen?","Welche elektronische Seekarte verwendest Du?","Welche Daten sind Dir besonders wichtig in Seekarten?","Welche Funktionen sollten elektronische Seekarten können?","Was ist Dir besonders wichtig bei elektronischen Seekarten?","Möchtest Du sonst noch etwas mitteilen?"
"2025/11/01 8:34:58 AM MEZ","Ausschließlich elektronische Seekarten","Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität","Updatezwang;Preis","Jedes halbe Jahr","ja","ja","Ist zu teuer","Ist zu teuer","NV-Charts;O-Charts","Landgebiete;Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Gefahrenstellen","Interaktive Informationen für Kartenobjekte;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 8:36:29 AM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics)","Tiefenangaben;Ankerplätze;Gefahrenstellen","Einstellbare Tiefengrenze","Ich habe keine Meinung dazu","nein"
"2025/11/01 8:50:44 AM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität","Updatezwang;Preis;Lizenzregeln;","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics)","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Soll auf Handy Geräten laufen ","nein"
"2025/11/01 8:59:43 AM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen;Anzeige von AIS Daten, Gezeiten, Strömungen in Abhängigkeit zur Zeit ","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Funktionalität;Regelmäßige Updates","Layout der Karten;Funktionalität;Navionics: Je nach Zoomstufe verschwinden wichtige Details (nicht nur beim rauszooomen), Trackbzum nächsten Wegpunkt ist so dick, dass Infos überlagert werden, Tracks immer gelb, Land auch","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);O-Charts;Freie Seekarten","Landgebiete;Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Individuell gestaltbare Karten bzgl. Land- und Wassermassen;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Aktualität, Konfigurierbarkeit. ","nein"
"2025/11/01 9:00:54 AM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich benutze sie auch in Verbindung mit einem Autopiloten","Qualität, grosse Abdeckung, muss zum vorhandenen Plotter passen","Layout der Karten;Regelmäßige Updates","teilweise die Abdeckung","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist angemessen","NV-Charts","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze","Aktualität","nein"
"2025/11/01 9:16:52 AM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen","Standardsierte Seekarten, die in allen Geräten nutzbar sind;Konkret OpenCPN mit o-charts und qtvlm","Layout der Karten;Erweiterte Infos","Layout der Karten;Herstellersupport;Preis","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","O-Charts;Freie Seekarten;Meltemus","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen;AIS","Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Individuell gestaltbare Karten bzgl. Land- und Wassermassen;Einstellbare Tiefengrenze","Kartenqualität und transparente Aktualität",""
"2025/11/01 9:24:06 AM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität","Updatefrequenz und Instransparenz","Sporadisch nach Bedarf","nein","nein","Ist angemessen","Ist zu teuer","NV-Charts;Elektronische Seekarten des Plotterherstellers","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 9:25:07 AM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen","Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport","Updatezwang;Preis;Lizenzregeln","Jedes halbe Jahr","ja","nein","Ist zu teuer","Ist zu teuer","NV-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Preis-Leistungs-Verhältnis","nein"
"2025/11/01 9:25:43 AM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich benutze sie auch in Verbindung mit einem Autopiloten","Als verschlüsselte Datei auf einem propritären Datenträger, Nutzung eingeschränkt","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport","Preis","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist angemessen","Garmin / Boating (Navionics);Elektronische Seekarten des Plotterherstellers","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten","Aktualität ","nein"
"2025/11/01 9:28:37 AM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen","Layout der Karten;Funktionalität;Regelmäßige Updates","X","Ein Mal im Jahr","ja","ja","Ist angemessen","Ist angemessen","O-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Ankerplätze","2D-Tiefenkontur;3D-Kontur am Tiefenmap;Interaktive Informationen für Kartenobjekte","Ich habe keine Meinung dazu",""
"2025/11/01 9:42:20 AM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Regelmäßige Updates","Updatezwang;Herstellersupport;Preis;Lizenzregeln","Jedes halbe Jahr","ja","nein","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts","Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 9:51:35 AM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Regelmäßige Updates","Updatezwang;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist angemessen","Freie Seekarten","Seegebiete;Tiefenangaben;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Gute Übersicht, Filtermöglichkeiten für die Darstellung","nein"
"2025/11/01 9:53:30 AM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis","Jedes halbe Jahr","ja","ja","Ist zu teuer","Ist zu teuer","NV-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Gefahrenstellen","2D-Tiefenkontur","Ich habe keine Meinung dazu","nein"
"2025/11/01 9:53:37 AM MEZ","Ausschließlich elektronische Seekarten;Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem propritären Datenträger, Nutzung eingeschränkt;Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport","Updatezwang;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);O-Charts","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 9:59:36 AM MEZ","Ausschließlich elektronische Seekarten","Ich fahre nach den geplanten Routen","Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten","Sind nicht aktuell genug","Ein Mal im Jahr","ja","ja","Ist angemessen","Ist zu teuer","NV-Charts","Tiefenangaben;Tiefenlinien;Seezeichen;Aktualitätsdatum der Seekarte","Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Überlagerung von Tieden und Strömungsdaten","Die Aktualität der veränderlichen Tiefen",""
"2025/11/01 10:14:03 AM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit","Abokarten in der App","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport","nichts","Jedes halbe Jahr","nein","ja","Ist angemessen","Ist angemessen","Garmin / Boating (Navionics)","Landgebiete;Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Aktuell, leicht bedienbar und übersichtliche Darstellung, plug and play","nein"
"2025/11/01 10:15:42 AM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Herstellersupport","Ein Mal im Jahr","ja","nein","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Hervorhebung von Sperrzonen","Aktuell, IOS, Mac OS","nein"
"2025/11/01 10:16:43 AM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Funktionalität","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics)","Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Hervorhebung von Sperrzonen;Direkt erkennbare Zoomstufe (z.B. Roter Rand venn da noch infos fehlen)","Ich habe keine Meinung dazu","nein"
"2025/11/01 10:41:50 AM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","NV-Charts;Raymarine","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 10:48:03 AM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich lasse mir Borddaten anzeigen","Seekarten fest verbunden mit Hardware","Layout der Karten;Regelmäßige Updates;Herstellersupport","Preis","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist angemessen","Garmin / Boating (Navionics)","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Gefahrenstellen","Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 11:11:17 AM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich benutze sie auch in Verbindung mit einem Autopiloten","Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics)","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","Überlagerung von Wetterdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 11:37:58 AM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Freie Seekarten;Stentec","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","Überlagerung von Wetterdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 11:56:12 AM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport","Updatezwang;Preis;Lizenzregeln","Jedes halbe Jahr","ja","ja","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics)","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 12:32:52 PM MEZ","Ausschließlich elektronische Seekarten;Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich lasse mir Borddaten anzeigen","Seekarten fest verbunden mit Hardware;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Funktionalität;Regelmäßige Updates","Updatezwang;Preis;Lizenzregeln","Jedes halbe Jahr","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);O-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze","Ich habe keine Meinung dazu","nein"
"2025/11/01 12:32:58 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen","Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport","Preis","Sporadisch nach Bedarf","ja","ja","Ist zu teuer","Ist angemessen","Garmin / Boating (Navionics)","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 12:51:41 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport;Nutze Orca","Preis;Lizenzregeln;Geodaten die mit steuermitteln erfasst wurden sollten für Bürger frei sein","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);Orca","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Ankerplätze","Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Lesbarkeit, gut eingestellte Sichtbarkeit von Details nach Zoomstufe","nein"
"2025/11/01 1:28:27 PM MEZ","Ausschließlich elektronische Seekarten;Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates","Updatezwang;Herstellersupport;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts","Seegebiete;Tiefenangaben;Tiefenlinien;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten","Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Überlagerung von Wetterdaten;Hervorhebung von Sperrzonen","Funktionalität ","nein"
"2025/11/01 1:36:26 PM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card","Regelmäßige Updates","Layout der Karten","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist angemessen","Garmin / Boating (Navionics);C-Map","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Aktualitätsdatum der Seekarte","Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze","Ich habe keine Meinung dazu","nein"
"2025/11/01 1:45:22 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen;Ankeralam, Signal K, ect","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Seekarten fest verbunden mit Hardware;Offene Seekarten, die ich auch anderweitig verwenden kann;Backup: Sasplanet: Navionics, C-map, Transas","Layout der Karten;Funktionalität","Herstellersupport;Preis;Lizenzregeln","Ein Mal im Jahr","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);C-Map;Freie Seekarten;Selbst erstellte oder eingescannte Seekarten;Transas","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten","Keine Abzocke","nein"
"2025/11/01 3:15:36 PM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Seekarten fest verbunden mit Hardware","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport","Lizenzregeln","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist angemessen","NV-Charts;O-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen"," Gute Skalierbarkeit um die Übersicht zu behalten",""
"2025/11/01 3:37:38 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Seekarten fest verbunden mit Hardware;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Regelmäßige Updates;Herstellersupport","Funktionalität;Preis","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist zu teuer","O-Charts;Orca","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Individuell gestaltbare Karten bzgl. Land- und Wassermassen;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
